Valid date,Valid time,Time zone,Record sequence,Data type,Primary,Reporting area,State code,Parameter name,AQI value,AQI category,Forecast,Source
06/09/23,0:00,EAT,0,O,Y,Addis Ababa Central,,PM2.5,88,Moderate,U.S. Department of State Ethiopia - Addis Ababa,
06/08/23,,EAT,-1,Y,Y,Addis Ababa School,,PM2.5,129,Unhealthy for Sensitive Groups,U.S. Department of State Ethiopia - Addis Ababa,
06/09/23,0:00,EAT,0,O,Y,Addis Ababa School,,PM2.5,142,Unhealthy for Sensitive Groups,U.S. Department of State Ethiopia - Addis Ababa,
06/07/23,,EDT,-1,Y,Y,Adirondacks Region,NY,PM2.5,83,Moderate,New York Dept. of Environmental Conservation,
06/08/23,17:00,EDT,0,O,Y,Adirondacks Region,NY,OZONE,20,Good,New York Dept. of Environmental Conservation,
06/08/23,,EDT,0,F,Y,Adirondacks Region,NY,PM2.5,51,Moderate,New York Dept. of Environmental Conservation,
06/09/23,,EDT,1,F,Y,Adirondacks Region,NY,PM2.5,30,Good,New York Dept. of Environmental Conservation,
06/07/23,,EDT,-1,Y,Y,Aiken-Augusta - SC and GA,SC,OZONE,74,Moderate,South Carolina DHEC,
06/08/23,17:00,EDT,0,O,Y,Aiken-Augusta - SC and GA,SC,OZONE,80,Moderate,South Carolina DHEC,
06/08/23,,EDT,0,F,Y,Aiken-Augusta - SC and GA,SC,OZONE,46,Good,South Carolina DHEC,
06/09/23,,EDT,1,F,Y,Aiken-Augusta - SC and GA,SC,OZONE,61,Moderate,South Carolina DHEC,
06/07/23,,MST,-1,Y,Y,Ajo,AZ,PM10,16,Good,Arizona Department of Environmental Quality,
06/08/23,14:00,MST,0,O,Y,Ajo,AZ,PM10,9,Good,Arizona Department of Environmental Quality,
06/07/23,,MST,-1,Y,Y,Alamo Lake State Park,AZ,OZONE,71,Moderate,Arizona Department of Environmental Quality,
06/08/23,14:00,MST,0,O,Y,Alamo Lake State Park,AZ,OZONE,51,Moderate,Arizona Department of Environmental Quality,
06/07/23,,CDT,-1,Y,Y,Alba,MO,OZONE,105,Unhealthy for Sensitive Groups,Quapaw Nation,
06/08/23,16:00,CDT,0,O,Y,Alba,MO,OZONE,58,Moderate,Quapaw Nation,
06/07/23,,EDT,-1,Y,Y,Albany,GA,PM2.5,37,Good,Georgia Department of Natural Resources,
06/07/23,,PDT,-1,Y,Y,Albany,OR,PM2.5,23,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Albany,OR,PM2.5,12,Good,Oregon Dept. of Environmental Quality,
06/07/23,,MDT,-1,Y,Y,Albuquerque,NM,OZONE,54,Moderate,Albuquerque Environmental Health Department,
06/08/23,15:00,MDT,0,O,Y,Albuquerque,NM,OZONE,80,Moderate,Albuquerque Environmental Health Department,
06/08/23,,MDT,0,F,Y,Albuquerque,NM,OZONE,,Moderate,Albuquerque Environmental Health Department,
06/09/23,,MDT,1,F,Y,Albuquerque,NM,PM2.5,,Good,Albuquerque Environmental Health Department,
06/10/23,,MDT,2,F,Y,Albuquerque,NM,PM2.5,,Good,Albuquerque Environmental Health Department,
06/07/23,,EDT,-1,Y,Y,Alexander County,NC,PM10,25,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,17:00,EDT,0,O,Y,Alexander County,NC,OZONE,44,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,EDT,0,F,Y,Alexander County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Alexander County,NC,OZONE,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Alexander County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Alexander County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,CDT,0,F,Y,Alexandria,LA,OZONE,84,Moderate,Louisiana Department of Environmental Quality,
06/09/23,,CDT,1,F,Y,Alexandria,LA,OZONE,71,Moderate,Louisiana Department of Environmental Quality,
06/10/23,,CDT,2,F,Y,Alexandria,LA,OZONE,64,Moderate,Louisiana Department of Environmental Quality,
06/07/23,,CET,-1,Y,Y,Algiers,,PM2.5,57,Moderate,U.S. Department of State Algeria - Algiers,
06/08/23,22:00,CET,0,O,Y,Algiers,,PM2.5,53,Moderate,U.S. Department of State Algeria - Algiers,
06/08/23,,EDT,0,F,Y,Alleghany County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Alleghany County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Alleghany County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Alleghany County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,ALM,-1,Y,Y,Almaty,,PM2.5,40,Good,U.S. Department of State Kazakhstan - Almaty,
06/09/23,3:00,ALM,0,O,Y,Almaty,,PM2.5,47,Good,U.S. Department of State Kazakhstan - Almaty,
06/07/23,,EDT,-1,Y,Y,Altoona,PA,PM2.5,161,Unhealthy,Pennsylvania Dept. of Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Altoona,PA,PM2.5,80,Moderate,Pennsylvania Dept. of Environmental Protection,
06/08/23,,EDT,0,F,Y,Altoona,PA,PM2.5,155,Unhealthy,Pennsylvania Dept. of Environmental Protection,
06/09/23,,EDT,1,F,Y,Altoona,PA,PM2.5,137,Unhealthy for Sensitive Groups,Pennsylvania Dept. of Environmental Protection,
06/10/23,,EDT,2,F,Y,Altoona,PA,PM2.5,90,Moderate,Pennsylvania Dept. of Environmental Protection,
06/07/23,,CST,-1,Y,Y,Amarillo,TX,OZONE,49,Good,Texas Commission on Environmental Quality,
06/08/23,15:00,CST,0,O,Y,Amarillo,TX,OZONE,47,Good,Texas Commission on Environmental Quality,
06/08/23,,CST,0,F,Y,Amarillo,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/09/23,,CST,1,F,Y,Amarillo,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/10/23,,CST,2,F,Y,Amarillo,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/11/23,,CST,3,F,Y,Amarillo,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/08/23,,EST,-1,Y,Y,Amman,,OZONE,67,Moderate,U.S. Department of State Jordan - Amman,
06/09/23,0:00,EST,0,O,Y,Amman,,PM2.5,70,Moderate,U.S. Department of State Jordan - Amman,
06/07/23,,PDT,-1,Y,Y,Anacortes,WA,OZONE,41,Good,Northwest Clean Air Agency,
06/08/23,14:00,PDT,0,O,Y,Anacortes,WA,PM2.5,42,Good,Northwest Clean Air Agency,
06/08/23,,PDT,0,F,Y,Anacortes,WA,PM2.5,,Good,Northwest Clean Air Agency,
06/09/23,,PDT,1,F,Y,Anacortes,WA,PM2.5,,Good,Northwest Clean Air Agency,
06/10/23,,PDT,2,F,Y,Anacortes,WA,PM2.5,,Good,Northwest Clean Air Agency,
06/11/23,,PDT,3,F,Y,Anacortes,WA,PM2.5,,Good,Northwest Clean Air Agency,
06/12/23,,PDT,4,F,Y,Anacortes,WA,PM2.5,,Good,Northwest Clean Air Agency,
06/07/23,,ADT,-1,Y,Y,Anchorage,AK,PM2.5,10,Good,State of Alaska DEC,
06/08/23,13:00,ADT,0,O,Y,Anchorage,AK,PM10,11,Good,State of Alaska DEC,
06/07/23,,EDT,-1,Y,Y,Ann Arbor,MI,PM2.5,153,Unhealthy,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,17:00,EDT,0,O,Y,Ann Arbor,MI,PM2.5,146,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,,EDT,0,F,Y,Ann Arbor,MI,PM2.5,,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/09/23,,EDT,1,F,Y,Ann Arbor,MI,PM2.5,,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,,EDT,0,F,Y,Anson County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Anson County,NC,OZONE,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Anson County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Anson County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,EAT,-1,Y,Y,Antananarivo,,PM2.5,81,Moderate,U.S. Department of State Madagascar- Antananarivo,
06/09/23,0:00,EAT,0,O,Y,Antananarivo,,PM2.5,73,Moderate,U.S. Department of State Madagascar- Antananarivo,
06/07/23,,PDT,-1,Y,Y,Antelope Vly,CA,OZONE,46,Good,Antelope Valley AQMD,
06/08/23,14:00,PDT,0,O,Y,Antelope Vly,CA,OZONE,48,Good,Antelope Valley AQMD,
06/08/23,,PDT,1,F,Y,Antelope Vly,CA,OZONE,54,Moderate,Antelope Valley AQMD,
06/09/23,,PDT,1,F,Y,Antelope Vly,CA,OZONE,51,Moderate,Antelope Valley AQMD,
06/07/23,,PDT,-1,Y,Y,Anza Vly,CA,OZONE,43,Good,South Coast AQMD,
06/08/23,14:00,PDT,0,O,Y,Anza Vly,CA,OZONE,47,Good,South Coast AQMD,
06/08/23,,PDT,1,F,Y,Anza Vly,CA,OZONE,64,Moderate,South Coast AQMD,
06/09/23,,PDT,1,F,Y,Anza Vly,CA,OZONE,51,Moderate,South Coast AQMD,
06/07/23,,MST,-1,Y,Y,Apache Junction,AZ,OZONE,64,Moderate,Pinal County Air Quality Control District,
06/08/23,14:00,MST,0,O,Y,Apache Junction,AZ,OZONE,90,Moderate,Pinal County Air Quality Control District,
06/08/23,,MST,0,F,Y,Apache Junction,AZ,OZONE,80,Moderate,Pinal County Air Quality Control District,
06/09/23,,MST,1,F,Y,Apache Junction,AZ,OZONE,90,Moderate,Pinal County Air Quality Control District,
06/10/23,,MST,2,F,Y,Apache Junction,AZ,PM10,60,Moderate,Pinal County Air Quality Control District,
06/11/23,,MST,3,F,Y,Apache Junction,AZ,PM10,55,Moderate,Pinal County Air Quality Control District,
06/12/23,,MST,4,F,Y,Apache Junction,AZ,OZONE,55,Moderate,Pinal County Air Quality Control District,
06/13/23,,MST,5,F,Y,Apache Junction,AZ,OZONE,70,Moderate,Pinal County Air Quality Control District,
06/07/23,,EDT,-1,Y,Y,Aquinnah,MA,OZONE,46,Good,Massachusetts Dept. of Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Aquinnah,MA,OZONE,36,Good,Massachusetts Dept. of Environmental Protection,
06/08/23,,EDT,0,F,Y,Aquinnah,MA,PM2.5,,Moderate,Massachusetts Dept. of Environmental Protection,
06/09/23,,EDT,1,F,Y,Aquinnah,MA,PM2.5,,Unhealthy for Sensitive Groups,Massachusetts Dept. of Environmental Protection,
06/07/23,,PDT,-1,Y,Y,Arden Arcade-Del Paso Manor,CA,OZONE,41,Good,Sacramento Metro. AQMD,
06/08/23,14:00,PDT,0,O,Y,Arden Arcade-Del Paso Manor,CA,OZONE,45,Good,Sacramento Metro. AQMD,
06/08/23,,PDT,0,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,48,Good,Sacramento Metro. AQMD,
06/09/23,,PDT,1,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,47,Good,Sacramento Metro. AQMD,
06/10/23,,PDT,2,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,43,Good,Sacramento Metro. AQMD,
06/11/23,,PDT,3,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,42,Good,Sacramento Metro. AQMD,
06/12/23,,PDT,4,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,42,Good,Sacramento Metro. AQMD,
06/13/23,,PDT,5,F,Y,Arden Arcade-Del Paso Manor,CA,OZONE,46,Good,Sacramento Metro. AQMD,
06/07/23,,CDT,-1,Y,Y,Arkadelphia-Caddo Valley,AR,OZONE,58,Moderate,Arkansas Department of Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Arkadelphia-Caddo Valley,AR,OZONE,48,Good,Arkansas Department of Environmental Quality,
06/08/23,,EDT,0,F,Y,Ashe County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Ashe County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Ashe County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Ashe County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,TMT,-1,Y,Y,Ashgabat,,PM2.5,91,Moderate,U.S. Department of State Turkmenistan - Ashgabat,
06/09/23,2:00,TMT,0,O,Y,Ashgabat,,PM2.5,41,Good,U.S. Department of State Turkmenistan - Ashgabat,
06/07/23,,EDT,-1,Y,Y,Ashland,KY,PM2.5,108,Unhealthy for Sensitive Groups,Kentucky DEP,
06/08/23,17:00,EDT,0,O,Y,Ashland,KY,PM2.5,95,Moderate,Kentucky DEP,
06/07/23,,PDT,-1,Y,Y,Ashland,OR,OZONE,43,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Ashland,OR,OZONE,38,Good,Oregon Dept. of Environmental Quality,
06/07/23,,CDT,-1,Y,Y,Ashland County,WI,PM2.5,34,Good,Wisconsin Dept. of Natural Resources,
06/08/23,16:00,CDT,0,O,Y,Ashland County,WI,OZONE,30,Good,Wisconsin Dept. of Natural Resources,
06/08/23,,CDT,1,F,Y,Ashland County,WI,PM2.5,,Moderate,Wisconsin Dept. of Natural Resources,
06/09/23,,CDT,2,F,Y,Ashland County,WI,PM2.5,,Moderate,Wisconsin Dept. of Natural Resources,
06/10/23,,CDT,3,F,Y,Ashland County,WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/11/23,,CDT,4,F,Y,Ashland County,WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/07/23,,MDT,-1,Y,Y,Aspen,CO,OZONE,33,Good,Colorado Department of Public Health and Environment,
06/08/23,15:00,MDT,0,O,Y,Aspen,CO,OZONE,38,Good,Colorado Department of Public Health and Environment,
06/08/23,,MDT,0,F,Y,Aspen,CO,OZONE,,Good,Colorado Department of Public Health and Environment,
06/09/23,,MDT,1,F,Y,Aspen,CO,OZONE,,Good,Colorado Department of Public Health and Environment,
06/07/23,,PDT,-1,Y,Y,Atascadero,CA,OZONE,34,Good,San Luis Obispo County APCD,
06/08/23,14:00,PDT,0,O,Y,Atascadero,CA,OZONE,31,Good,San Luis Obispo County APCD,
06/08/23,,PDT,0,F,Y,Atascadero,CA,OZONE,30,Good,San Luis Obispo County APCD,
06/09/23,,PDT,1,F,Y,Atascadero,CA,OZONE,31,Good,San Luis Obispo County APCD,
06/10/23,,PDT,2,F,Y,Atascadero,CA,OZONE,33,Good,San Luis Obispo County APCD,
06/11/23,,PDT,3,F,Y,Atascadero,CA,OZONE,32,Good,San Luis Obispo County APCD,
06/12/23,,PDT,4,F,Y,Atascadero,CA,OZONE,32,Good,San Luis Obispo County APCD,
06/13/23,,PDT,5,F,Y,Atascadero,CA,OZONE,34,Good,San Luis Obispo County APCD,
06/07/23,,EDT,-1,Y,Y,Athens,TN,PM2.5,77,Moderate,Tennessee Air Pollution Control Div.,
06/08/23,17:00,EDT,0,O,Y,Athens,TN,PM2.5,76,Moderate,Tennessee Air Pollution Control Div.,
06/07/23,,EDT,-1,Y,Y,Athens-Clarke County,GA,OZONE,122,Unhealthy for Sensitive Groups,Georgia Department of Natural Resources,
06/08/23,17:00,EDT,0,O,Y,Athens-Clarke County,GA,OZONE,74,Moderate,Georgia Department of Natural Resources,
06/07/23,,EDT,-1,Y,Y,Atlanta,GA,OZONE,136,Unhealthy for Sensitive Groups,Georgia Department of Natural Resources,
06/08/23,17:00,EDT,0,O,Y,Atlanta,GA,OZONE,101,Unhealthy for Sensitive Groups,Georgia Department of Natural Resources,
06/08/23,,EDT,0,F,Y,Atlanta,GA,OZONE,,Moderate,Georgia Department of Natural Resources,
06/09/23,,EDT,1,F,Y,Atlanta,GA,OZONE,,Unhealthy for Sensitive Groups,Georgia Department of Natural Resources,
06/07/23,,PDT,-1,Y,Y,Auburn,CA,OZONE,36,Good,Sacramento Metro. AQMD,
06/08/23,,PDT,0,F,Y,Auburn,CA,OZONE,51,Moderate,Sacramento Metro. AQMD,
06/09/23,,PDT,1,F,Y,Auburn,CA,OZONE,50,Good,Sacramento Metro. AQMD,
06/10/23,,PDT,2,F,Y,Auburn,CA,OZONE,45,Good,Sacramento Metro. AQMD,
06/11/23,,PDT,3,F,Y,Auburn,CA,OZONE,44,Good,Sacramento Metro. AQMD,
06/12/23,,PDT,4,F,Y,Auburn,CA,OZONE,44,Good,Sacramento Metro. AQMD,
06/13/23,,PDT,5,F,Y,Auburn,CA,OZONE,49,Good,Sacramento Metro. AQMD,
06/07/23,,CDT,-1,Y,Y,Aurora and Elgin,IL,PM2.5,62,Moderate,Illinois EPA,
06/08/23,16:00,CDT,0,O,Y,Aurora and Elgin,IL,PM2.5,107,Unhealthy for Sensitive Groups,Illinois EPA,
06/08/23,,CDT,0,F,Y,Aurora and Elgin,IL,PM2.5,,Moderate,Illinois EPA,
06/09/23,,CDT,1,F,Y,Aurora and Elgin,IL,PM2.5,,Moderate,Illinois EPA,
06/10/23,,CDT,2,F,Y,Aurora and Elgin,IL,PM2.5,,Moderate,Illinois EPA,
06/11/23,,CDT,3,F,Y,Aurora and Elgin,IL,PM2.5,,Moderate,Illinois EPA,
06/07/23,,CDT,-1,Y,Y,Austin,TX,OZONE,112,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Austin,TX,OZONE,77,Moderate,Texas Commission on Environmental Quality,
06/08/23,,CDT,0,F,Y,Austin,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/09/23,,CDT,1,F,Y,Austin,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/10/23,,CDT,2,F,Y,Austin,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/11/23,,CDT,3,F,Y,Austin,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/07/23,,EDT,-1,Y,Y,Avery County,NC,PM2.5,66,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,17:00,EDT,0,O,Y,Avery County,NC,PM2.5,59,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,,EDT,0,F,Y,Avery County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Avery County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Avery County,NC,PM2.5,85,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Avery County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,CDT,-1,Y,Y,Badlands,SD,OZONE,100,Moderate,South Dakota Department of Agriculture and Natural Resources,
06/08/23,16:00,CDT,0,O,Y,Badlands,SD,OZONE,80,Moderate,South Dakota Department of Agriculture and Natural Resources,
06/08/23,,AST,-1,Y,Y,Baghdad,,PM2.5,106,Unhealthy for Sensitive Groups,U.S. Department of State Iraq - Baghdad,
06/09/23,0:00,AST,0,O,Y,Baghdad,,PM2.5,119,Unhealthy for Sensitive Groups,U.S. Department of State Iraq - Baghdad,
06/07/23,,PDT,-1,Y,Y,Baker City,OR,PM2.5,17,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Baker City,OR,PM2.5,22,Good,Oregon Dept. of Environmental Quality,
06/07/23,,EDT,-1,Y,Y,Baker County,FL,PM2.5,54,Moderate,Florida Dept. of Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Baker County,FL,OZONE,43,Good,Florida Dept. of Environmental Protection,
06/07/23,,PDT,-1,Y,Y,Bakersfield,CA,OZONE,35,Good,San Joaquin Valley Unified APCD,
06/08/23,14:00,PDT,0,O,Y,Bakersfield,CA,PM2.5,50,Good,San Joaquin Valley Unified APCD,
06/08/23,,PDT,1,F,Y,Bakersfield,CA,OZONE,38,Good,San Joaquin Valley Unified APCD,
06/08/23,,AZT,-1,Y,Y,Baku,,PM2.5,55,Moderate,U.S. Department of State Azerbaijan - Baku,
06/09/23,1:00,AZT,0,O,Y,Baku,,PM2.5,75,Moderate,U.S. Department of State Azerbaijan - Baku,
06/07/23,,PDT,-1,Y,Y,Banning,CA,OZONE,54,Moderate,South Coast AQMD,
06/08/23,14:00,PDT,0,O,Y,Banning,CA,PM2.5,56,Moderate,South Coast AQMD,
06/08/23,,PDT,1,F,Y,Banning,CA,OZONE,80,Moderate,South Coast AQMD,
06/09/23,,PDT,1,F,Y,Banning,CA,OZONE,54,Moderate,South Coast AQMD,
06/07/23,,PDT,-1,Y,Y,Barstow,CA,OZONE,71,Moderate,Mojave Desert AQMD,
06/08/23,14:00,PDT,0,O,Y,Barstow,CA,OZONE,64,Moderate,Mojave Desert AQMD,
06/08/23,,PDT,1,F,Y,Barstow,CA,OZONE,84,Moderate,Mojave Desert AQMD,
06/09/23,,PDT,1,F,Y,Barstow,CA,OZONE,97,Moderate,Mojave Desert AQMD,
06/07/23,,CDT,-1,Y,Y,Baton Rouge Area,LA,OZONE,93,Moderate,Louisiana Department of Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Baton Rouge Area,LA,OZONE,84,Moderate,Louisiana Department of Environmental Quality,
06/08/23,,CDT,0,F,Y,Baton Rouge Area,LA,OZONE,115,Unhealthy for Sensitive Groups,Louisiana Department of Environmental Quality,
06/09/23,,CDT,1,F,Y,Baton Rouge Area,LA,OZONE,100,Moderate,Louisiana Department of Environmental Quality,
06/10/23,,CDT,2,F,Y,Baton Rouge Area,LA,OZONE,84,Moderate,Louisiana Department of Environmental Quality,
06/07/23,,CDT,-1,Y,Y,Bay and Gulf Counties,FL,OZONE,37,Good,Florida Dept. of Environmental Protection,
06/08/23,16:00,CDT,0,O,Y,Bay and Gulf Counties,FL,OZONE,40,Good,Florida Dept. of Environmental Protection,
06/08/23,,CDT,0,F,Y,Bay and Gulf Counties,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/09/23,,CDT,1,F,Y,Bay and Gulf Counties,FL,OZONE,,Moderate,Florida Dept. of Environmental Protection,
06/10/23,,CDT,2,F,Y,Bay and Gulf Counties,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/11/23,,CDT,3,F,Y,Bay and Gulf Counties,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/07/23,,CDT,-1,Y,Y,Beatrice,NE,PM2.5,34,Good,Nebraska Department of Environment and Energy,
06/08/23,16:00,CDT,0,O,Y,Beatrice,NE,PM2.5,50,Good,Nebraska Department of Environment and Energy,
06/08/23,,EDT,0,F,Y,Beaufort County,NC,PM2.5,150,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Beaufort County,NC,PM2.5,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Beaufort County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Beaufort County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,CDT,-1,Y,Y,Beaumont-Port Arthur,TX,OZONE,80,Moderate,Texas Commission on Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Beaumont-Port Arthur,TX,OZONE,87,Moderate,Texas Commission on Environmental Quality,
06/08/23,,CDT,0,F,Y,Beaumont-Port Arthur,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/09/23,,CDT,1,F,Y,Beaumont-Port Arthur,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/10/23,,CDT,2,F,Y,Beaumont-Port Arthur,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/11/23,,CDT,3,F,Y,Beaumont-Port Arthur,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/07/23,,PDT,-1,Y,Y,Beaverton,OR,PM2.5,25,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Beaverton,OR,PM2.5,25,Good,Oregon Dept. of Environmental Quality,
06/08/23,,CST,-1,Y,Y,Beijing,,PM2.5,69,Moderate,U.S. Department of State China - Beijing,
06/09/23,5:00,CST,0,O,Y,Beijing,,PM2.5,58,Moderate,U.S. Department of State China - Beijing,
06/07/23,,EDT,-1,Y,Y,Belle Glade,FL,PM2.5,36,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
06/08/23,17:00,EDT,0,O,Y,Belle Glade,FL,PM2.5,18,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
06/08/23,,EDT,0,F,Y,Belle Glade,FL,PM2.5,,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
06/09/23,,EDT,1,F,Y,Belle Glade,FL,PM2.5,,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
06/10/23,,EDT,2,F,Y,Belle Glade,FL,PM2.5,,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
06/11/23,,EDT,3,F,Y,Belle Glade,FL,PM2.5,,Good,Palm Beach County Health Department Division of Environmental Science and Engineering,
